ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Full Descriptor,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CTS Name,Unit
147,"Comoros, Union of the",KM,COM,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",7.3,7.2,7.1,7.1,7,7,7.1,7.1,7.1,7.1,Index for Risk Management; Lack of Coping Capacity,Index
148,"Comoros, Union of the",KM,COM,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",5.8,5.5,5.1,4.9,5,5.1,5.3,5.5,5.5,4.6,Index for Risk Management; Vulnerability,Index
149,"Congo, Dem. Rep. of the",CD,COD,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.5,3.5,Climate-Driven Hazard & Exposure,Index
150,"Congo, Dem. Rep. of the",CD,COD,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",6.2,6.1,6,6.1,6.1,6.1,6.1,6.1,5.9,6,Climate-Driven Inform Risk Indicator,Index
151,"Congo, Dem. Rep. of the",CD,COD,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,Index for Risk Management; Lack of Coping Capacity,Index
152,"Congo, Dem. Rep. of the",CD,COD,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",7.5,7.3,7.1,7.2,7.5,7.2,7.5,7.4,7.4,7.5,Index for Risk Management; Vulnerability,Index
153,"Congo, Rep. of",CG,COG,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,Climate-Driven Hazard & Exposure,Index
154,"Congo, Rep. of",CG,COG,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",5.9,5.7,5.7,5.8,5.9,5.9,6.1,6,6.2,6.1,Climate-Driven Inform Risk Indicator,Index
155,"Congo, Rep. of",CG,COG,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",7.4,7.3,7.2,7.4,7.4,7.4,7.6,7.6,7.6,7.6,Index for Risk Management; Lack of Coping Capacity,Index
156,"Congo, Rep. of",CG,COG,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",5.9,5.6,5.5,5.7,6,5.9,6.4,6.1,6.9,6.5,Index for Risk Management; Vulnerability,Index
157,Costa Rica,CR,CRI,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,Climate-Driven Hazard & Exposure,Index
158,Costa Rica,CR,CRI,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.5,2.5,2.4,2.3,2.4,2.5,2.7,2.7,2.9,2.9,Climate-Driven Inform Risk Indicator,Index
159,Costa Rica,CR,CRI,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",2.7,2.8,2.8,2.6,2.6,2.6,2.5,2.5,2.5,2.5,Index for Risk Management; Lack of Coping Capacity,Index
160,Costa Rica,CR,CRI,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",2.7,2.7,2.3,2.3,2.4,2.9,3.6,3.6,4.7,4.6,Index for Risk Management; Vulnerability,Index
161,Côte d'Ivoire,CI,CIV,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,Climate-Driven Hazard & Exposure,Index
162,Côte d'Ivoire,CI,CIV,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",4.8,4.9,4.8,4.7,4.5,4.7,4.6,4.6,4.6,4.6,Climate-Driven Inform Risk Indicator,Index
163,Côte d'Ivoire,CI,CIV,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",7.3,7.5,7.2,7.1,7,6.9,6.6,6.6,6.6,6.6,Index for Risk Management; Lack of Coping Capacity,Index
164,Côte d'Ivoire,CI,CIV,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",5.7,6,5.9,5.8,4.9,5.7,5.7,5.6,5.6,5.6,Index for Risk Management; Vulnerability,Index
165,"Croatia, Rep. of",HR,HRV,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,Climate-Driven Hazard & Exposure,Index
166,"Croatia, Rep. of",HR,HRV,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.6,2.9,2.8,Climate-Driven Inform Risk Indicator,Index
167,"Croatia, Rep. of",HR,HRV,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",2.8,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,Index for Risk Management; Lack of Coping Capacity,Index
168,"Croatia, Rep. of",HR,HRV,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.5,2.1,2,Index for Risk Management; Vulnerability,Index
169,Cyprus,CY,CYP,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,Climate-Driven Hazard & Exposure,Index
170,Cyprus,CY,CYP,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.2,2.2,2.2,2.3,2.3,2.2,2.2,2.2,2.3,2.3,Climate-Driven Inform Risk Indicator,Index
171,Cyprus,CY,CYP,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",2.2,2.3,2.4,2.6,2.6,2.5,2.4,2.5,2.6,2.6,Index for Risk Management; Lack of Coping Capacity,Index
172,Cyprus,CY,CYP,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",4.2,4.1,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,Index for Risk Management; Vulnerability,Index
173,Czech Rep.,CZ,CZE,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,Climate-Driven Hazard & Exposure,Index
174,Czech Rep.,CZ,CZE,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.5,2,1.9,1.7,1.7,1.6,1.6,1.6,2.6,2.6,Climate-Driven Inform Risk Indicator,Index
175,Czech Rep.,CZ,CZE,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",2.5,2.2,2.1,2,2,1.9,2,2,2,2,Index for Risk Management; Lack of Coping Capacity,Index
176,Czech Rep.,CZ,CZE,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",2.3,1.5,1.2,1,1,0.9,0.8,0.8,3.4,3.4,Index for Risk Management; Vulnerability,Index
177,Denmark,DK,DNK,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,Climate-Driven Hazard & Exposure,Index
178,Denmark,DK,DNK,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",1.3,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,Climate-Driven Inform Risk Indicator,Index
179,Denmark,DK,DNK,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",0.9,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,Index for Risk Management; Lack of Coping Capacity,Index
180,Denmark,DK,DNK,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",1.4,1.5,1.7,1.8,1.8,1.8,1.8,1.8,2.1,2.1,Index for Risk Management; Vulnerability,Index
181,Djibouti,DJ,DJI,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",4,4,4,4,4,4,4,4,4,4,Climate-Driven Hazard & Exposure,Index
182,Djibouti,DJ,DJI,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",5.3,5.2,5.1,5.2,5.1,5,5.3,5.3,5.3,5.1,Climate-Driven Inform Risk Indicator,Index
183,Djibouti,DJ,DJI,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",6.5,6.4,6.3,6.4,6.1,6,6,6.1,6.1,6.1,Index for Risk Management; Lack of Coping Capacity,Index
184,Djibouti,DJ,DJI,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",5.8,5.5,5.4,5.4,5.3,5.3,6.1,6.1,6.1,5.4,Index for Risk Management; Vulnerability,Index
185,Dominica,DM,DMA,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,Climate-Driven Hazard & Exposure,Index
186,Dominica,DM,DMA,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",3.3,3.2,3.9,3.9,4.1,4.1,3.8,3.3,3.3,3.3,Climate-Driven Inform Risk Indicator,Index
187,Dominica,DM,DMA,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",4,3.8,3.7,3.7,4.1,4.1,4.1,4.1,4.1,4.1,Index for Risk Management; Lack of Coping Capacity,Index
188,Dominica,DM,DMA,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",2.6,2.4,4.6,4.5,4.8,4.8,3.7,2.4,2.5,2.5,Index for Risk Management; Vulnerability,Index
189,Dominican Rep.,DO,DOM,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,Climate-Driven Hazard & Exposure,Index
190,Dominican Rep.,DO,DOM,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",4.1,3.9,3.9,4.4,4.4,3.9,4.4,4.4,4.4,4.4,Climate-Driven Inform Risk Indicator,Index
191,Dominican Rep.,DO,DOM,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",4.9,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Index for Risk Management; Lack of Coping Capacity,Index
192,Dominican Rep.,DO,DOM,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",2.7,2.6,2.5,3.7,3.7,2.7,3.9,3.9,3.8,3.8,Index for Risk Management; Vulnerability,Index
193,Ecuador,EC,ECU,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",4,4,4,4,4,4,4,4,4,4,Climate-Driven Hazard & Exposure,Index
194,Ecuador,EC,ECU,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",4,4,4.1,4.1,3.9,3.9,4.2,4.3,4.3,4.3,Climate-Driven Inform Risk Indicator,Index
195,Ecuador,EC,ECU,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",4.2,4.2,4.2,4.1,4,4,3.9,4,4,4,Index for Risk Management; Lack of Coping Capacity,Index
196,Ecuador,EC,ECU,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",3.9,3.8,4.1,4.1,3.8,3.7,4.8,4.8,4.9,4.9,Index for Risk Management; Vulnerability,Index
197,"Egypt, Arab Rep. of",EG,EGY,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,Climate-Driven Hazard & Exposure,Index
198,"Egypt, Arab Rep. of",EG,EGY,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,Climate-Driven Inform Risk Indicator,Index
199,"Egypt, Arab Rep. of",EG,EGY,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",4.8,4.7,4.7,4.7,4.6,4.6,4.5,4.5,4.5,4.5,Index for Risk Management; Lack of Coping Capacity,Index
200,"Egypt, Arab Rep. of",EG,EGY,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",3.8,3.8,3.9,3.8,3.8,3.9,3.7,3.7,3.7,3.8,Index for Risk Management; Vulnerability,Index
201,El Salvador,SV,SLV,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,Climate-Driven Hazard & Exposure,Index
202,El Salvador,SV,SLV,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",3.7,3.5,3.7,3.6,3.6,3.7,4.1,4.2,4.1,4.1,Climate-Driven Inform Risk Indicator,Index
